message,beginLine,endLine,beginColumn,endColumn,rule,ruleset,classified_rule,className,methodName,variable,priority
Parameter 'msg' is not assigned and could be declared final,295,295,67,85,MethodArgumentCouldBeFinal,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,msg,3
Avoid if (x != y) ..; else ..;,296,420,25,25,ConfusingTernary,Code Style,BEST_PRACTICE,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,298,298,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,299,299,81,103,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,300,300,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),301,302,66,73,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),301,302,66,73,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),301,302,82,72,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),301,302,82,72,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,303,303,41,58,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,304,304,41,56,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Found 'DU'-anomaly for variable 'startPosition' (lines '306'-'421').,306,421,55,73,DataflowAnomalyAnalysis,Error Prone,RESOURCE,AstBuilderListener$QueryErrorListener,syntaxError,startPosition,5
Potential violation of Law of Demeter (method chain calls),306,307,71,73,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),306,307,71,73,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),306,307,87,72,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),306,307,87,72,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Found 'DU'-anomaly for variable 'endPosition' (lines '308'-'421').,308,421,55,128,DataflowAnomalyAnalysis,Error Prone,RESOURCE,AstBuilderListener$QueryErrorListener,syntaxError,endPosition,5
Potential violation of Law of Demeter (method chain calls),308,308,69,128,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),308,308,85,123,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),309,309,45,66,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,310,310,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),311,311,77,120,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),311,311,77,120,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),311,311,77,120,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,312,312,79,102,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,313,313,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,314,314,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,315,315,49,58,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,316,316,87,89,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like variableExpression,316,316,66,83,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,variableExpression,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,317,317,97,123,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like variableDeclaration,317,317,75,93,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,variableDeclaration,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,319,319,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,320,320,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,321,321,49,52,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,322,322,89,111,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,323,323,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,324,324,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,325,325,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,326,326,54,63,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,327,327,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,328,328,91,114,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,329,329,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,330,330,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,331,331,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),334,335,71,127,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),334,335,71,127,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),335,335,66,126,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),335,335,66,126,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),336,336,69,128,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),336,336,85,123,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),337,337,45,70,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,338,338,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),339,339,77,108,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),339,339,77,108,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,340,340,74,88,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),340,341,74,67,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),340,341,114,66,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,342,342,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,343,343,87,89,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like variableExpression,343,343,66,83,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,variableExpression,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,344,344,97,123,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like variableDeclaration,344,344,75,93,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,variableDeclaration,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,346,346,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,347,347,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,348,348,49,52,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,350,350,87,89,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like variableExpression,350,350,66,83,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,variableExpression,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,351,351,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,352,353,107,89,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like errorVariableDeclaration,352,352,80,103,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,errorVariableDeclaration,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,354,354,49,66,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,355,355,49,64,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,356,356,49,57,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,358,358,81,103,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,359,359,41,58,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,360,360,41,56,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,361,361,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,363,363,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,364,364,69,71,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,365,365,89,115,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like errorCollectionCall,365,365,67,85,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,errorCollectionCall,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,366,366,41,58,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,366,366,81,98,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,367,367,41,56,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),367,368,41,77,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),367,368,79,76,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),367,368,95,71,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,369,369,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,371,371,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,372,372,69,71,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,373,374,99,81,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid excessively long variable names like errorFeatureAccessOrCall,373,373,72,95,LongVariable,Code Style,NAMING_CONVENTIONS,AstBuilderListener$QueryErrorListener,syntaxError,errorFeatureAccessOrCall,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,375,375,41,58,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,375,375,86,103,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,376,376,41,56,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),376,377,41,77,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),376,377,84,76,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),376,377,100,71,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,378,378,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,380,380,41,49,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),380,380,53,77,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
"A switch with less than three branches is inefficient, use a if statement instead.",381,394,41,41,TooFewBranchesForASwitchStatement,Performance,METRIC,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),381,381,49,73,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,383,383,97,119,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),384,385,82,89,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),384,385,82,89,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),384,385,98,88,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),384,385,98,88,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,386,386,57,74,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,387,387,57,72,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),387,388,57,93,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),387,388,91,92,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),387,388,107,87,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Avoid autogenerated methods to access private fields and methods of inner / outer classes,389,389,57,65,AccessorMethodGeneration,Best Practices,AccessorMethodGeneration,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (object not created locally),398,398,37,55,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Found 'DU'-anomaly for variable 'startPosition' (lines '399'-'421').,399,421,55,93,DataflowAnomalyAnalysis,Error Prone,RESOURCE,AstBuilderListener$QueryErrorListener,syntaxError,startPosition,5
Potential violation of Law of Demeter (method chain calls),399,400,71,93,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),399,400,71,93,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),399,400,87,92,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (method chain calls),399,400,87,92,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (object not created locally),399,400,87,92,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Potential violation of Law of Demeter (object not created locally),399,400,116,69,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
Found 'DU'-anomaly for variable 'endPosition' (lines '401'-'421').,401,421,55,128,DataflowAnomalyAnalysis,Error Prone,RESOURCE,AstBuilderListener$QueryErrorListener,syntaxError,endPosition,5
Potential violation of Law of Demeter (method chain calls),401,401,69,128,LawOfDemeter,Design,OBJECT_ORIENTED_DESING,AstBuilderListener$QueryErrorListener,syntaxError,,3
